OG	tree	reconciliation_map	flipped_nodes
51	((noD_5_5_5_3|G0_0[node_id=1;species=H0],noD_5_5_5_3|G1_0[node_id=2;species=H0])D[node_id=3],noD_5_5_5_3|G3_7[node_id=0;species=H7])S[node_id=4];	0:4,1:3,2:3,3:3,4:2	
52	((noD_5_6_9_4|G1_0[node_id=0;species=H0],noD_5_6_9_4|G0_0[node_id=1;species=H0])D[node_id=2],noD_5_6_9_4|G3_7[node_id=3;species=H7])S[node_id=4];	0:3,1:3,2:3,3:4,4:2	
53	((noD_5_2_7_1|G0_0[node_id=0;species=H0],X[node_id=5])S[node_id=4],((noD_5_2_7_1|G2_4[node_id=1;species=H4],noD_5_2_7_1|G1_4[node_id=2;species=H4])D[node_id=3],X[node_id=7])S[node_id=6])S[node_id=8];	0:3,1:6,2:6,3:6,4:2,5:4,6:5,7:7,8:1	
54	(noD_5_1_9_2|G0_0[node_id=3;species=H0],(noD_5_1_9_2|G2_7[node_id=0;species=H7],noD_5_1_9_2|G1_7[node_id=1;species=H7])D[node_id=2])S[node_id=4];	0:4,1:4,2:4,3:3,4:2	
55	((noD_5_2_4_3|G0_0[node_id=2;species=H0],X[node_id=4])S[node_id=3],((noD_5_2_4_3|G2_2[node_id=0;species=H2],noD_5_2_4_3|G1_1[node_id=1;species=H1])S[node_id=5],X[node_id=7])S[node_id=6])S[node_id=8];	0:8,1:9,2:3,3:2,4:4,5:7,6:5,7:6,8:1	
56	((noD_5_4_4_2|G0_0[node_id=0;species=H0],X[node_id=4])S[node_id=3],((noD_5_4_4_2|G2_2[node_id=2;species=H2],noD_5_4_4_2|G1_1[node_id=1;species=H1])S[node_id=5],X[node_id=7])S[node_id=6])S[node_id=8];	0:3,1:9,2:8,3:2,4:4,5:7,6:5,7:6,8:1	
57	((noD_5_4_3_2|G0_0[node_id=1;species=H0],X[node_id=4])S[node_id=3],(noD_5_4_3_2|G2_4[node_id=2;species=H4],(noD_5_4_3_2|G1_1[node_id=0;species=H1],X[node_id=6])S[node_id=5])S[node_id=7])S[node_id=8];	0:9,1:3,2:6,3:2,4:4,5:7,6:8,7:5,8:1	
58	((noD_5_2_8_2|G0_0[node_id=1;species=H0],noD_5_2_8_2|G3_7[node_id=2;species=H7])S[node_id=3],(noD_5_2_8_2|G1_4[node_id=0;species=H4],X[node_id=5])S[node_id=4])S[node_id=6];	0:6,1:3,2:4,3:2,4:5,5:7,6:1	
59	(noD_5_8_4_2|G0_0[node_id=0;species=H0],(noD_5_8_4_2|G2_7[node_id=1;species=H7],noD_5_8_4_2|G1_7[node_id=2;species=H7])D[node_id=3])S[node_id=4];	0:3,1:4,2:4,3:4,4:2	
60	(noD_5_6_3_4|G0_0[node_id=3;species=H0],(noD_5_6_3_4|G1_7[node_id=0;species=H7],noD_5_6_3_4|G2_7[node_id=1;species=H7])D[node_id=2])S[node_id=4];	0:4,1:4,2:4,3:3,4:2	
61	((noD_5_6_7_4|G0_0[node_id=1;species=H0],noD_5_6_7_4|G2_7[node_id=0;species=H7])S[node_id=2],(noD_5_6_7_4|G1_7[node_id=3;species=H7],X[node_id=6])S[node_id=5])D[node_id=4];	0:4,1:3,2:2,3:4,4:2,5:2,6:3	
62	(noD_5_9_2_1|G3_4[node_id=1;species=H4],(noD_5_9_2_1|G1_2[node_id=2;species=H2],noD_5_9_2_1|G0_1[node_id=0;species=H1])S[node_id=3])S[node_id=4];	0:9,1:6,2:8,3:7,4:5	
63	(noD_5_8_3_1|G3_4[node_id=2;species=H4],(noD_5_8_3_1|G1_2[node_id=1;species=H2],noD_5_8_3_1|G0_1[node_id=0;species=H1])S[node_id=3])S[node_id=4];	0:9,1:8,2:6,3:7,4:5	
64	(noD_5_1_7_4|G3_4[node_id=0;species=H4],(noD_5_1_7_4|G1_2[node_id=1;species=H2],noD_5_1_7_4|G0_1[node_id=2;species=H1])S[node_id=3])S[node_id=4];	0:6,1:8,2:9,3:7,4:5	
65	(noD_5_6_7_1|G3_4[node_id=1;species=H4],(noD_5_6_7_1|G1_2[node_id=0;species=H2],noD_5_6_7_1|G0_1[node_id=2;species=H1])S[node_id=3])S[node_id=4];	0:8,1:6,2:9,3:7,4:5	
66	(noD_5_7_9_1|G3_4[node_id=0;species=H4],(noD_5_7_9_1|G1_2[node_id=1;species=H2],noD_5_7_9_1|G0_1[node_id=2;species=H1])S[node_id=3])S[node_id=4];	0:6,1:8,2:9,3:7,4:5	
67	((noD_5_5_9_2|G3_7[node_id=0;species=H7],X[node_id=4])S[node_id=3],((noD_5_5_9_2|G1_2[node_id=2;species=H2],noD_5_5_9_2|G0_1[node_id=1;species=H1])S[node_id=5],X[node_id=7])S[node_id=6])S[node_id=8];	0:4,1:9,2:8,3:2,4:3,5:7,6:5,7:6,8:1	
68	(noD_5_4_6_3|G3_4[node_id=1;species=H4],(noD_5_4_6_3|G1_2[node_id=0;species=H2],noD_5_4_6_3|G0_1[node_id=2;species=H1])S[node_id=3])S[node_id=4];	0:8,1:6,2:9,3:7,4:5	
69	(noD_5_6_9_3|G3_4[node_id=1;species=H4],(noD_5_6_9_3|G1_2[node_id=2;species=H2],noD_5_6_9_3|G0_1[node_id=0;species=H1])S[node_id=3])S[node_id=4];	0:9,1:6,2:8,3:7,4:5	
70	(noD_5_4_9_4|G3_4[node_id=1;species=H4],(noD_5_4_9_4|G1_2[node_id=2;species=H2],noD_5_4_9_4|G0_1[node_id=0;species=H1])S[node_id=3])S[node_id=4];	0:9,1:6,2:8,3:7,4:5	
71	((noD_5_2_9_2|G3_7[node_id=0;species=H7],X[node_id=4])S[node_id=3],(noD_5_2_9_2|G1_4[node_id=1;species=H4],(noD_5_2_9_2|G0_2[node_id=2;species=H2],X[node_id=6])S[node_id=5])S[node_id=7])S[node_id=8];	0:4,1:6,2:8,3:2,4:3,5:7,6:9,7:5,8:1	
72	(noD_5_9_2_1|G8_4[node_id=1;species=H4],(noD_5_9_2_1|G6_2[node_id=2;species=H2],noD_5_9_2_1|G5_1[node_id=0;species=H1])S[node_id=3])S[node_id=4];	0:9,1:6,2:8,3:7,4:5	
73	((noD_5_1_10_0|G0_0[node_id=3;species=H0],noD_5_1_10_0|G5_7[node_id=1;species=H7])S[node_id=4],(noD_5_1_10_0|G2_4[node_id=2;species=H4],(noD_5_1_10_0|G1_2[node_id=0;species=H2],X[node_id=6])S[node_id=5])S[node_id=7])S[node_id=8];	0:8,1:4,2:6,3:3,4:2,5:7,6:9,7:5,8:1	
74	((noD_5_0_10_2|G0_0[node_id=2;species=H0],X[node_id=5])S[node_id=4],(noD_5_0_10_2|G4_4[node_id=0;species=H4],(noD_5_0_10_2|G2_2[node_id=3;species=H2],noD_5_0_10_2|G1_1[node_id=1;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:6,1:9,2:3,3:8,4:2,5:4,6:7,7:5,8:1	
75	((noD_5_10_4_0|G0_0[node_id=0;species=H0],X[node_id=5])S[node_id=4],(noD_5_10_4_0|G4_4[node_id=1;species=H4],(noD_5_10_4_0|G2_2[node_id=3;species=H2],noD_5_10_4_0|G1_1[node_id=2;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:3,1:6,2:9,3:8,4:2,5:4,6:7,7:5,8:1	
76	((noD_5_10_5_0|G0_0[node_id=3;species=H0],X[node_id=5])S[node_id=4],(noD_5_10_5_0|G4_4[node_id=0;species=H4],(noD_5_10_5_0|G2_2[node_id=2;species=H2],noD_5_10_5_0|G1_1[node_id=1;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:6,1:9,2:8,3:3,4:2,5:4,6:7,7:5,8:1	
77	((noD_5_10_7_0|G0_0[node_id=1;species=H0],X[node_id=5])S[node_id=4],(noD_5_10_7_0|G4_4[node_id=0;species=H4],(noD_5_10_7_0|G2_2[node_id=3;species=H2],noD_5_10_7_0|G1_1[node_id=2;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:6,1:3,2:9,3:8,4:2,5:4,6:7,7:5,8:1	
78	((noD_5_0_10_4|G5_7[node_id=2;species=H7],X[node_id=5])S[node_id=4],(noD_5_0_10_4|G3_4[node_id=3;species=H4],(noD_5_0_10_4|G1_2[node_id=1;species=H2],noD_5_0_10_4|G0_1[node_id=0;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:9,1:8,2:4,3:6,4:2,5:3,6:7,7:5,8:1	
79	((noD_5_9_10_0|G5_7[node_id=0;species=H7],X[node_id=5])S[node_id=4],(noD_5_9_10_0|G3_4[node_id=3;species=H4],(noD_5_9_10_0|G1_2[node_id=1;species=H2],noD_5_9_10_0|G0_1[node_id=2;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:4,1:8,2:9,3:6,4:2,5:3,6:7,7:5,8:1	
80	((noD_5_1_10_1|G0_0[node_id=2;species=H0],X[node_id=5])S[node_id=4],(noD_5_1_10_1|G4_4[node_id=0;species=H4],(noD_5_1_10_1|G2_2[node_id=1;species=H2],noD_5_1_10_1|G1_1[node_id=3;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:6,1:8,2:3,3:9,4:2,5:4,6:7,7:5,8:1	
81	((noD_5_4_10_1|G0_0[node_id=0;species=H0],X[node_id=5])S[node_id=4],(noD_5_4_10_1|G4_4[node_id=3;species=H4],(noD_5_4_10_1|G2_2[node_id=1;species=H2],noD_5_4_10_1|G1_1[node_id=2;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:3,1:8,2:9,3:6,4:2,5:4,6:7,7:5,8:1	
82	((noD_5_10_8_1|G0_0[node_id=2;species=H0],noD_5_10_8_1|G5_7[node_id=1;species=H7])S[node_id=4],((noD_5_10_8_1|G2_2[node_id=3;species=H2],noD_5_10_8_1|G1_1[node_id=0;species=H1])S[node_id=5],X[node_id=7])S[node_id=6])S[node_id=8];	0:9,1:4,2:3,3:8,4:2,5:7,6:5,7:6,8:1	
83	((noD_5_8_10_1|G0_0[node_id=3;species=H0],noD_5_8_10_1|G5_7[node_id=0;species=H7])S[node_id=4],((noD_5_8_10_1|G2_2[node_id=1;species=H2],noD_5_8_10_1|G1_1[node_id=2;species=H1])S[node_id=5],X[node_id=7])S[node_id=6])S[node_id=8];	0:4,1:8,2:9,3:3,4:2,5:7,6:5,7:6,8:1	
84	((noD_5_2_10_2|G0_0[node_id=2;species=H0],noD_5_2_10_2|G5_7[node_id=1;species=H7])S[node_id=4],((noD_5_2_10_2|G2_2[node_id=3;species=H2],noD_5_2_10_2|G1_1[node_id=0;species=H1])S[node_id=5],X[node_id=7])S[node_id=6])S[node_id=8];	0:9,1:4,2:3,3:8,4:2,5:7,6:5,7:6,8:1	
85	((noD_5_3_10_2|G0_0[node_id=1;species=H0],noD_5_3_10_2|G5_7[node_id=3;species=H7])S[node_id=4],((noD_5_3_10_2|G2_2[node_id=2;species=H2],noD_5_3_10_2|G1_1[node_id=0;species=H1])S[node_id=5],X[node_id=7])S[node_id=6])S[node_id=8];	0:9,1:3,2:8,3:4,4:2,5:7,6:5,7:6,8:1	
86	((noD_5_3_10_4|G0_0[node_id=1;species=H0],X[node_id=5])S[node_id=4],(noD_5_3_10_4|G4_4[node_id=2;species=H4],(noD_5_3_10_4|G2_2[node_id=0;species=H2],noD_5_3_10_4|G1_1[node_id=3;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:8,1:3,2:6,3:9,4:2,5:4,6:7,7:5,8:1	
87	((noD_5_4_10_3|G0_0[node_id=3;species=H0],noD_5_4_10_3|G5_7[node_id=2;species=H7])S[node_id=4],((noD_5_4_10_3|G2_2[node_id=0;species=H2],noD_5_4_10_3|G1_1[node_id=1;species=H1])S[node_id=5],X[node_id=7])S[node_id=6])S[node_id=8];	0:8,1:9,2:4,3:3,4:2,5:7,6:5,7:6,8:1	
88	((noD_5_0_5_1|G0_0[node_id=3;species=H0],X[node_id=5])S[node_id=4],(noD_5_0_5_1|G4_4[node_id=1;species=H4],(noD_5_0_5_1|G2_2[node_id=0;species=H2],noD_5_0_5_1|G1_1[node_id=2;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:8,1:6,2:9,3:3,4:2,5:4,6:7,7:5,8:1	
89	(noD_5_3_10_3|G0_0[node_id=0;species=H0],(noD_5_3_10_3|G3_7[node_id=1;species=H7],noD_5_3_10_3|G1_7[node_id=2;species=H7],noD_5_3_10_3|G2_7[node_id=3;species=H7])D[node_id=4])S[node_id=5];	0:3,1:4,2:4,3:4,4:4,5:2	
90	((noD_5_0_8_2|G0_0[node_id=0;species=H0],X[node_id=5])S[node_id=4],(noD_5_0_8_2|G4_4[node_id=2;species=H4],(noD_5_0_8_2|G2_2[node_id=3;species=H2],noD_5_0_8_2|G1_1[node_id=1;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:3,1:9,2:6,3:8,4:2,5:4,6:7,7:5,8:1	
91	((noD_5_4_8_0|G0_0[node_id=1;species=H0],X[node_id=5])S[node_id=4],(noD_5_4_8_0|G4_4[node_id=3;species=H4],(noD_5_4_8_0|G2_2[node_id=0;species=H2],noD_5_4_8_0|G1_1[node_id=2;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:8,1:3,2:9,3:6,4:2,5:4,6:7,7:5,8:1	
92	((noD_5_5_5_0|G0_0[node_id=0;species=H0],X[node_id=5])S[node_id=4],(noD_5_5_5_0|G4_4[node_id=1;species=H4],(noD_5_5_5_0|G2_2[node_id=3;species=H2],noD_5_5_5_0|G1_1[node_id=2;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:3,1:6,2:9,3:8,4:2,5:4,6:7,7:5,8:1	
93	((noD_5_5_9_0|G0_0[node_id=3;species=H0],noD_5_5_9_0|G5_7[node_id=0;species=H7])S[node_id=4],(noD_5_5_9_0|G2_4[node_id=1;species=H4],(noD_5_5_9_0|G1_2[node_id=2;species=H2],X[node_id=6])S[node_id=5])S[node_id=7])S[node_id=8];	0:4,1:6,2:8,3:3,4:2,5:7,6:9,7:5,8:1	
94	((noD_5_9_8_0|G0_0[node_id=1;species=H0],noD_5_9_8_0|G5_7[node_id=3;species=H7])S[node_id=4],(noD_5_9_8_0|G2_4[node_id=2;species=H4],(noD_5_9_8_0|G1_2[node_id=0;species=H2],X[node_id=6])S[node_id=5])S[node_id=7])S[node_id=8];	0:8,1:3,2:6,3:4,4:2,5:7,6:9,7:5,8:1	
95	((noD_5_7_10_1|G5_7[node_id=0;species=H7],X[node_id=5])S[node_id=4],(noD_5_7_10_1|G3_4[node_id=2;species=H4],(noD_5_7_10_1|G1_2[node_id=3;species=H2],noD_5_7_10_1|G0_1[node_id=1;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:4,1:9,2:6,3:8,4:2,5:3,6:7,7:5,8:1	
96	((noD_5_10_8_3|G5_7[node_id=3;species=H7],X[node_id=5])S[node_id=4],(noD_5_10_8_3|G3_4[node_id=1;species=H4],(noD_5_10_8_3|G1_2[node_id=0;species=H2],noD_5_10_8_3|G0_1[node_id=2;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:8,1:6,2:9,3:4,4:2,5:3,6:7,7:5,8:1	
97	((noD_5_10_5_4|G5_7[node_id=2;species=H7],X[node_id=5])S[node_id=4],(noD_5_10_5_4|G3_4[node_id=0;species=H4],(noD_5_10_5_4|G1_2[node_id=1;species=H2],noD_5_10_5_4|G0_1[node_id=3;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:6,1:8,2:4,3:9,4:2,5:3,6:7,7:5,8:1	
98	((noD_5_1_5_0|G5_7[node_id=2;species=H7],X[node_id=5])S[node_id=4],(noD_5_1_5_0|G3_4[node_id=1;species=H4],(noD_5_1_5_0|G1_2[node_id=0;species=H2],noD_5_1_5_0|G0_1[node_id=3;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:8,1:6,2:4,3:9,4:2,5:3,6:7,7:5,8:1	
99	((noD_5_0_8_1|G5_7[node_id=0;species=H7],X[node_id=5])S[node_id=4],(noD_5_0_8_1|G3_4[node_id=2;species=H4],(noD_5_0_8_1|G1_2[node_id=1;species=H2],noD_5_0_8_1|G0_1[node_id=3;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:4,1:8,2:6,3:9,4:2,5:3,6:7,7:5,8:1	
100	((noD_5_0_5_2|G5_7[node_id=1;species=H7],X[node_id=5])S[node_id=4],(noD_5_0_5_2|G3_4[node_id=0;species=H4],(noD_5_0_5_2|G1_2[node_id=3;species=H2],noD_5_0_5_2|G0_1[node_id=2;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:6,1:4,2:9,3:8,4:2,5:3,6:7,7:5,8:1	
101	((noD_5_0_8_3|G5_7[node_id=3;species=H7],X[node_id=5])S[node_id=4],(noD_5_0_8_3|G3_4[node_id=2;species=H4],(noD_5_0_8_3|G1_2[node_id=1;species=H2],noD_5_0_8_3|G0_1[node_id=0;species=H1])S[node_id=6])S[node_id=7])S[node_id=8];	0:9,1:8,2:6,3:4,4:2,5:3,6:7,7:5,8:1	
